title,author,score,pages,year,genre,desc,reviews,url
To Kill a Mockingbird,Harper Lee,"998,587",323,1960,"Classics,Fiction,Historical Fiction,School,Literature,Young Adult,Historical","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.","116,697",/book/show/2657.To_Kill_a_Mockingbird
Fahrenheit 451,Ray Bradbury,"998,587",194,1953,"Fiction,Science Fiction,Dystopia,Classics,School,Literature,Novels","Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","73,233",/book/show/13079982-fahrenheit-451
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"998,587",366,1937,"Fantasy,Classics,Fiction,Adventure,Young Adult,High Fantasy,Science Fiction Fantasy","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.","70,441",/book/show/5907.The_Hobbit
The Great Gatsby,F. Scott Fitzgerald,"998,587",180,1925,"Classics,Fiction,School,Historical Fiction,Romance,Literature,Novels",", F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when ","104,082",/book/show/4671.The_Great_Gatsby
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"998,587",309,1997,"Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook","Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","161,230",/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Little Prince,Antoine de Saint-Exupéry,"998,587",96,1943,"Fantasy,Childrens,France,Philosophy,Young Adult,Literature,Middle Grade","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.","67,183",/book/show/157993.The_Little_Prince
1984,George Orwell,"998,587",368,1949,"Classics,Fiction,Science Fiction,Dystopia,Literature,Politics,Novels",A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasion,"114,229",/book/show/61439040-1984
Animal Farm,George Orwell,"998,587",128,1945,"Classics,Fiction,Dystopia,Fantasy,School,Literature,Science Fiction","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","95,055",/book/show/170448.Animal_Farm
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"998,587",206,1950,"Fantasy,Classics,Fiction,Young Adult,Childrens,Middle Grade,Adventure","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.","33,101",/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Grapes of Wrath,John Steinbeck,"998,587",479,1939,"Classics,Fiction,Historical Fiction,Literature,Novels,School,American","The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.","23,833",/book/show/18114322-the-grapes-of-wrath
